,TRASCONTINENTAL,,,,,,,,,,,
,CARTA DE CREDITO / BCO. SCOTIABANK,,,,,,,,,,SE ADICIONO POLIZS,
,VP. TORRENS   LLEGO :  09.05.12,,,,,,PEDIDO 049-11   09  UNIDADES  FORLAND,,,,,
,B/L  EUKOSHPU1081065,,MFTO.  2011- ,,,,,,,,,
,F/C FT11190PE,10.03.12,,,,,,,,,,
, , ,,,,,,,,,,
,,,,,,,,,,,,
,CODIGO,MARCA,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,,MOTOR,COLOR,AÑO
,MODELO,,,,,,,,,,,FAB.
,,,,,,,,,,,,
38,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U311XCX552459   ,TRAVESIAS,,LJ465QR1E1 C03321357 ,ROJO VINO,2012
39,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U311XCX615477   ,TRAVESIAS,,LJ465QR1E1 C03321394 ,ROJO VINO,2012
40,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U311XCX615480   ,TRAVESIAS,,LJ465QR1E1 C03322345 ,ROJO VINO,2012
41,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX552485   ,TRAVESIAS,,LJ465QR1E1 C03322319 ,ROJO VINO,2012
42,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615472   ,TRAVESIAS,,LJ465QR1E1 C03322365 ,ROJO VINO,2012
43,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3112CX615361   ,TRAVESIAS,,LJ465QR1E1 C03322336 ,ROJO VINO,2012
44,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3112CX615392   ,TRAVESIAS,,LJ465QR1E1 C03322238 ,ROJO VINO,2012
45,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3113CX615398   ,TRAVESIAS,,LJ465QR1E1 C03322236 ,ROJO VINO,2012
46,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3117CX615419   ,TRAVESIAS,,LJ465QR1E1 C03322338 ,ROJO VINO,2012
47,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3117CX615422   ,TRAVESIAS,,LJ465QR1E1 C03322312 ,ROJO VINO,2012
48,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3118CX552492   ,TRAVESIAS,,LJ465QR1E1 C03322381 ,ROJO VINO,2012
49,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3116CX615458   ,TRAVESIAS,,LJ465QR1E1 C03322342 ,ROJO VINO,2012
50,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3119CX615387   ,TRAVESIAS,,LJ465QR1E1 C03322417 ,ROJO VINO,2012
51,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX552454   ,TRAVESIAS,,LJ465QR1E1 C03322317 ,GRIS,2012
52,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX552468   ,TRAVESIAS,,LJ465QR1E1 C03322269 ,GRIS,2012
53,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615357   ,TRAVESIAS,,LJ465QR1E1 C03322318 ,GRIS,2012
54,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615388   ,TRAVESIAS,,LJ465QR1E1 C03321019 ,GRIS,2012
55,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615391   ,TRAVESIAS,,LJ465QR1E1 C03322237 ,GRIS,2012
56,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615407   ,TRAVESIAS,,LJ465QR1E1 C03322385 ,GRIS,2012
57,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615438   ,TRAVESIAS,,LJ465QR1E1 C03322401 ,GRIS,2012
58,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615441   ,TRAVESIAS,,LJ465QR1E1 C03322388 ,GRIS,2012
59,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3110CX615455   ,TRAVESIAS,,LJ465QR1E1 C03322391 ,GRIS,2012
60,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3111CX615433   ,TRAVESIAS,,LJ465QR1E1 C03322386 ,GRIS,2012
61,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3112CX552469   ,TRAVESIAS,,LJ465QR1E1 C03322314 ,GRIS,2012
62,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3112CX615408   ,TRAVESIAS,,LJ465QR1E1 C03322276 ,GRIS,2012
63,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3112CX615439   ,TRAVESIAS,,LJ465QR1E1 C03322409 ,GRIS,2012
64,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3113CX615367   ,TRAVESIAS,,LJ465QR1E1 C03322395 ,GRIS,2012
65,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3113CX615403   ,TRAVESIAS,,LJ465QR1E1 C03322374 ,GRIS,2012
66,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3114CX552456   ,TRAVESIAS,,LJ465QR1E1 C03322326 ,GRIS,2012
67,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3114CX615393   ,TRAVESIAS,,LJ465QR1E1 C03322255 ,GRIS,2012
68,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3115CX552479   ,TRAVESIAS,,LJ465QR1E1 C03322308 ,GRIS,2012
69,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3115CX552482   ,TRAVESIAS,,LJ465QR1E1 C03322268 ,GRIS,2012
70,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3115CX615449   ,TRAVESIAS,,LJ465QR1E1 C03322295 ,GRIS,2012
71,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3115CX615452   ,TRAVESIAS,,LJ465QR1E1 C03322298 ,GRIS,2012
72,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3116CX552457   ,TRAVESIAS,,LJ465QR1E1 C03322420 ,GRIS,2012
73,GA6380SE4/J9FN-84,GONOW,KOMBI,INCAPOWER EIGHT,,,LCR6U3116CX552491   ,TRAVESIAS,,LJ465QR1E1 C03323693 ,GRIS,2012
